Item,Form,Price
00110-DR SAN VARICOSE STOCKING SHORT SMALL,Pcs,GHS 170.00
00110-DR SAN VARICOSE STOCKING UNDER KNEE LARGE,Pcs,GHS 250.00
00110-DR SAN VARICOSE STOCKING UNDER KNEE MEDIUM,Pcs,GHS 250.00
00110-DR SAN VARICOSE STOCKING UNDER KNEE XLARGE,Pcs,GHS 250.00
00110-DR SAN VARICOSE STOCKING UNDER KNEE XXLARGE,Pcs,GHS 250.00
00120-DR SAN VARICOSE STOCKING ABOVE KNEE LARGE,Pcs,GHS 250.00
00120-DR SAN VARICOSE STOCKING ABOVE KNEE MEDIUM,Pcs,GHS 250.00
00120-DR SAN VARICOSE STOCKING ABOVE KNEE XL,Pcs,GHS 250.00
00130-DR SAN VARICOSE STOCKING ABOVE THIGH XL,Pcs,GHS 250.00
00130-DR SAN VARICOSE STOCKING LONG LARGE,Pcs,GHS 260.00
00130-DR SAN VARICOSE STOCKING LONG MEDIUM,Pcs,GHS 260.00
00130-DR SAN VARICOSE STOCKING LONG XXL,Pcs,GHS 260.00
002-POLAR WRIST SPORT LARGE,Pcs,GHS 65.00
002-POLAR WRIST SPORT XLARGE,Pcs,GHS 65.00
0020A-POLAR SHOULDER SUPPORT LARGE,Pcs,GHS 156.00
0020A-POLAR SHOULDER SUPPORT MEDIUM,Pcs,GHS 156.00
0020A-POLAR SHOULDER SUPPORT XL,Pcs,GHS 156.00
0021 MIRACLE KNEE SUPPORT,Pcs,GHS 65.00
0022-POLAR WRIST SPORT MEDIUM,Pcs,GHS 65.00
0024 MIRACLE PANEL KNEE IMMOBILIZER,Pcs,GHS 390.00
003612 MIRACLE ELASTIC BANDAGE 12CM,Pcs,GHS 14.00
0037 MIRACLE SKIN TRACTIONS,Pcs,GHS 200.00
0044 MIRACLE WRIST SPORT,Pcs,GHS 52.00
0056 MIRACLE SHOULDER SUPPORT,Pcs,GHS 156.00
0060 POLAR ARM SLING 65CM,Pcs,GHS 115.00
0060 POLAR ARM SLING 80CM,Pcs,GHS 115.00
0061 POLAR ARM SLING 90CM,Pcs,GHS 115.00
1000 WORDS & PICTURES,Pcs,GHS 90.00
21ST CENTURY ARTHRI-FLEX + VIT D3 120S,Pcs,GHS 320.00
3CP ANTICEPTIC LIQUID 100ML,Btl,GHS 43.00
3CP ANTISEPTIC LIQUID 200ML,Btl,GHS 60.00
"3M MICROPORE SURGICAL TAPE 2” (5,0CM*9,1M)",Pcs,GHS 60.00
"3M MICROPORE SURGICAL TAPE 3”(7,6CM*9,1M)",Single,GHS 85.00
3PCS NAIL CLIPPERS,Pcs,GHS 2.00
5 FLUCELL (FLUOROURACIL) INJ 500MG,Amp,GHS 18.00
50071 ISHIDU GIRLS SANDALS,Pcs,GHS 45.00
5BJ2068-1B BLACK SUNFLOWER SLIPPERS (37-41),Pcs,GHS 25.00
60 - SECONDS DIGITAL THERMOMETER - IIF,Pcs,GHS 21.00
600 COLORED PENCILS 12'S,Pcs,GHS 10.00
6003 PLANE,Pcs,GHS 50.00
601-3 DR SET CARDED,Pcs,GHS 26.00
7 -DAY PILL ORGANIZER,Pcs,GHS 30.00
7002-004N MROSE BLOCKBUSTER MAKE UP PALETTE,Pcs,GHS 100.00
7002-028N MROSE MAKE UP FESTIVAL OF COLOURS,Pcs,GHS 70.00
7019 WESTERN EXPRESS TRAIN SET,Pcs,GHS 60.00
7399- ELBOW WRAP (DH 12747),Pcs,GHS 70.00
7509-JIGBA THIGH SUPPORT,Pcs,"GHS 1,000.00"
751043-1ST AID KIT RED BAG,Pcs,GHS 60.00
767-587 MOANA CARTOON SCOOTER,Pcs,GHS 50.00
77004 CAR COMBINATON SET LIVE,Pcs,GHS 70.00
7715-BUBBLE SMALL CAR,Pcs,GHS 30.00
776-12 MIMI BELL'S RATTLES 9'S,Pcs,GHS 30.00
777-135 EMULATION R/C CAR,Pcs,GHS 150.00
79111-802 WAHL BALDFADER PLUS CLIPPER KIT 14S,Pcs,GHS 600.00
9307-5317 WAHL T-PRO CORDED HAIR TRIMMER 8'S,Pcs,GHS 200.00
9685-517 WAHL RECHARGEABLE STUBBLE AND BEARD CLIPPER 9S,Pcs,GHS 300.00
9902 METAL CONSTRUCTION,Pcs,GHS 60.00
992 FAD BEAUTY CHARM GIRLS,Pcs,GHS 20.00
A & E ASSORTED CLEAR WASHPROOF PLASTER 100'S,Pcs,GHS 0.90
A & E NASAL STRIP PLASTER 10'S,Pcs,GHS 10.00
A - RET CREAM 30GM,Tube,GHS 180.00
A TRAVEL EMPTY BOTTLE SET 8'S,Pcs,GHS 18.00
